Port_Key,Port_Name,Country_Key
1,Abu Dhabi,3
2,"Bayport Terminal, Houston, Texas",3
3,Casablanca Port,3
4,"CentrePort Wellington, Wellington Harbour",3
5,Copenhagen MalmÃ¶ Port,3
6,"Dwikora Harbour, Pontianak",3
7,Hai Phong,3
8,Karachi Port,3
9,Louisiana International Gulf Transfer Terminal Regional Center,3
10,"Lyttleton Port, Lyttleton",3
11,"Malta Freeport, Birzebbuga",3
12,Muscat,3
13,Pakistan International Container Terminal,3
14,"Port Newark-Elizabeth Marine Terminal, New Jersey",3
15,Port of Adelaide,3
16,Port of Algiers,3
17,Port of Amsterdam,3
18,"Port of Anchorage, Alaska",3
19,Port of Antalya,3
20,Port of Antwerp,3
21,"Port of Apapa, Lagos",3
22,Port of Ashdod,3
23,Port of Balboa,3
24,Port of Bandar-kohemini,3
25,"Port of Belawan, Medan",3
26,"Port of Callao, Lima",3
27,"Port of Charleston, South Carolina",3
28,Port of Chennai,3
29,Port of Colombo,3
30,Port of Djen Djen,3
31,Port of Dubai,3
32,Port of Durban,3
33,Port of Fukuoka,3
34,Port of Genoa,3
35,Port of Gothenburg,3
36,Port of Haifa,3
37,Port of Haldia,3
38,Port of Hamad,3
39,Port of Hamina-Kotka,3
40,Port of Hiroshima,3
41,Port of Ilo,3
42,Port of Incheon,3
43,Port of Kakinada,3
44,Port of Kolkata (Syama Prasad Mookerjee Port),3
45,Port of Koper,3
46,Port of Krishnapatnam,3
47,Port of La Plata,3
48,Port of La Spezia,3
49,Port of Las Palmas,3
50,Port of Lianyungang,3
51,"Port of Los Angeles, California",3
52,"Port of Makassar, Makassar",3
53,Port of Nagoya,3
54,Port of Naples,3
55,Port of Ningbo,3
56,Port of Novorossiysk,3
57,Port of Odesa,3
58,Port of PloÄ?e,3
59,Port of Pori,3
60,Port of Port Elizabeth,3
61,Port of Progreso,3
62,Port of Rauma,3
63,Port of Richards Bay,3
64,Port of Rio de Janeiro,3
65,Port of Saint Petersburg,3
66,Port of Santa Fe,3
67,"Port of Savannah, Georgia",3
68,Port of Split - Adriatic Gate Container Terminal,3
69,"Port of Tacoma, Washington",3
70,Port of Taichung,3
71,"Port of Tanjung Mas, Semarang",3
72,Port of TekirdaÄŸ,3
73,Port of Tianjin,3
74,"Port of Tincan, Lagos",3
75,Port of Trieste,3
76,"Port of Trisakti, Banjarmasin",3
77,Port of Valparaiso,3
78,Port of Veracruz,3
79,Port of Yingkou,3
80,Port of Zeebrugge,3
81,Port Qasim,3
82,Ports of Stockholm,3
83,Portsmouth,3
84,Rheinhafengesellschaft Weil am Rhein mbH,3
85,"Royal Portbury Dock, Bristol",3
86,Saigon Port,3
87,"Tenau Port, Kupang",3
88,Aalborg,4
89,Aarhus,4
90,"Bayport Terminal, Houston, Texas",4
91,Casablanca Port,4
92,Cayenne (French Guiana),4
93,"CentrePort Wellington, Wellington Harbour",4
94,Copenhagen MalmÃ¶ Port,4
95,Da Nang,4
96,Dublin Port,4
97,Fujairah Port,4
98,Hai Phong,4
99,Jeddah Seaport,4
100,Kaliningrad Sea Commercial Port,4
101,"King Abdul Aziz Sea Port, Dammam",4
102,LÃ¼beck Hafen-Gesellschaft,4
103,London Gateway,4
104,"Lyttleton Port, Lyttleton",4
105,Muscat,4
106,Napier Port,4
107,"Newport News Marine Terminal, Newport News, Virginia",4
108,"Norfolk International Terminals, Norfolk, Virginia",4
109,PAKISTAN INTERNATIONAL BULK TERMINAL LIMITED,4
110,PEARL TCDT,4
111,Penang Port,4
112,Port Botany,4
113,"Port Everglades, Florida",4
114,Port Klang,4
115,Port Metro Vancouver,4
116,Port of Ä°skenderun,4
117,Port of Alexandroupoli,4
118,Port of AmbarlÄ±,4
119,Port of Amboim,4
120,Port of Antofagasta,4
121,"Port of Apapa, Lagos",4
122,Port of Ashdod,4
123,Port of Balboa,4
124,Port of Barcelona,4
125,"Port of Barranquilla, Cartagena",4
126,Port of Beirut,4
127,Port of Belfast,4
128,Port of Bilbao,4
129,Port of Bremen/Bremerhaven,4
130,Port of Buenaventura,4
131,Port of Buenos Aires,4
132,Port of Busan,4
133,Port of Centro,4
134,"Port of Charleston, South Carolina",4
135,Port of Chittagong,4
136,Port of Civitavecchia,4
137,Port of Colombo,4
138,Port of Dalian,4
139,Port of Dock Sud,4
140,Port of Eilat,4
141,Port of Felixstowe,4
142,Port of Fukuoka,4
143,"Port of Gemlik, Gemlik",4
144,Port of Genoa,4
145,Port of Halifax,4
146,Port of Hamburg,4
147,Port of Hamina-Kotka,4
148,Port of Helsinki,4
149,Port of Heraklion,4
150,"Port of Honolulu, Hawaii",4
151,Port of Ilo,4
152,Port of Incheon,4
153,Port of Iquique,4
154,Port of Izmit,4
155,Port of Khor Fakkan,4
156,Port of KlaipÄ—da,4
157,Port of Kobe,4
158,Port of Kochi,4
159,Port of Kolkata (Syama Prasad Mookerjee Port),4
160,Port of Kollam,4
161,Port of Koper,4
162,Port of Krishnapatnam,4
163,Port of La Plata,4
164,Port of La Spezia,4
165,Port of Latakia,4
166,Port of Limassol,4
167,Port of Lirquen,4
168,Port of Livorno/Leghorn,4
169,Port of Lobito,4
170,"Port of Los Angeles, California",4
171,Port of Marghera,4
172,"Port of Mobile, Alabama",4
173,Port of Muuga,4
174,Port of Namibe,4
175,Port of Nanaimo,4
176,Port of Ngqura,4
177,Port of Nhava Sheva (Jawaharlal Nehru Port),4
178,Port of Novorossiysk,4
179,Port of Osaka,4
180,Port of Paramaribo,4
181,Port of ParanaguÃ¡,4
182,Port of PloÄ?e,4
183,"Port of Port Lavaca, Texas",4
184,Port of Progreso,4
185,Port of Qingdao,4
186,Port of Rauma,4
187,Port of Rijeka,4
188,Port of Saint John,4
189,Port of Saint Petersburg,4
190,Port of Salerno,4
191,Port of San Antonio,4
192,Port of Santa Fe,4
193,"Port of Savannah, Georgia",4
194,Port of Sepetiba,4
195,Port of Shanghai,4
196,Port of Shenzhen,4
197,"Port of Sines, Sines",4
198,Port of Soyo,4
199,"Port of Tacoma, Washington",4
200,Port of Talcahuano,4
201,"Port of Tanjung Mas, Semarang",4
202,"Port of Tanjung Perak, Surabaya",4
203,Port of Tarragona,4
204,Port of Tartus,4
205,Port of Tauranga,4
206,Port of TekirdaÄŸ,4
207,Port of Tokyo,4
208,Port of Tuticorin (V. O. Chidambaranar Port),4
209,Port of Veracruz,4
210,Port of Vigo,4
211,Port of Vizhinjam (Vizhinjam International Seaport),4
212,"Port of Vladivostok, Free port of Vladivostok",4
213,Port of Yalova,4
214,Port of Yingkou,4
215,Ports of Auckland,4
216,Portsmouth,4
217,Riyadh Dry Port,4
218,Toamasina Autonomous Port,4
219,"Virginia Inland Port, Front Royal, Virginia",4
220,"Wilmington Marine Terminal, Delaware",4
221,Aalborg,7
222,Aarhus,7
223,Agadir Port,7
224,"APM Terminals, Portsmouth, Virginia",7
225,Copenhagen MalmÃ¶ Port,7
226,Da Nang,7
227,Damietta,7
228,DCT GdaÅ„sk,7
229,"Dwikora Harbour, Pontianak",7
230,El-Dekhila,7
231,Fredericia,7
232,Grangemouth,7
233,Gwader Port,7
234,Hai Phong,7
235,Havana Harbor,7
236,"Helen Delich Bentley Port of Baltimore, Maryland",7
237,"Howland Hook Marine Terminal, Staten Island, New York",7
238,Jebel Ali,7
239,Kaliningrad Sea Commercial Port,7
240,Kalundborg,7
241,Karachi International container terminal,7
242,"King Abdul Aziz Sea Port, Dammam",7
243,"Kingston Container Terminal (Port of Kingston), Kingston",7
244,LÃ¼beck Hafen-Gesellschaft,7
245,London Thamesport,7
246,Louisiana International Gulf Transfer Terminal Regional Center,7
247,"Lyttleton Port, Lyttleton",7
248,Manzanillo International Terminal,7
249,Marseille-Fos Port,7
250,Multimodal Caucedo Port,7
251,Muscat,7
252,Nantes â€“ Saint Nazaire Port,7
253,Napier Port,7
254,"Newport News Marine Terminal, Newport News, Virginia",7
255,"Norfolk International Terminals, Norfolk, Virginia",7
256,PAKISTAN INTERNATIONAL BULK TERMINAL LIMITED,7
257,Pakistan International Container Terminal,7
258,PEARL TCDT,7
259,Penang Port,7
260,Port Botany,7
261,"Port Chalmers, Dunedin",7
262,"Port Everglades, Florida",7
263,"Port Jersey Marine Terminal, Jersey City, New Jersey",7
264,Port Klang,7
265,Port Metro Vancouver,7
266,Port Nelson,7
267,"Port Newark-Elizabeth Marine Terminal, New Jersey",7
268,Port of Ä°skenderun,7
269,Port of Ä°zmir,7
270,Port of Adelaide,7
271,"Port of AlcÃ¢ntara, Lisbon",7
272,Port of Alexandroupoli,7
273,Port of Algeciras,7
274,Port of Algiers,7
275,Port of Altamira,7
276,Port of AmbarlÄ±,7
277,Port of Amboim,7
278,Port of Amsterdam,7
279,"Port of Anchorage, Alaska",7
280,Port of Antalya,7
281,Port of Antofagasta,7
282,Port of Antwerp,7
283,"Port of Apapa, Lagos",7
284,Port of Aqaba,7
285,"Port of Arica, Arica",7
286,Port of Ashdod,7
287,Port of Bandar-kohemini,7
288,Port of Bangkok,7
289,Port of Bar,7
290,Port of Barcelona,7
291,Port of Beira,7
292,Port of Beirut,7
293,"Port of Belawan, Medan",7
294,Port of Belfast,7
295,Port of Bergen,7
296,"Port of Boston, Massachusetts",7
297,Port of Bremen/Bremerhaven,7
298,Port of Brisbane,7
299,Port of Buenaventura,7
300,Port of Buenos Aires,7
301,Port of Busan,7
302,Port of Cabinda,7
303,"Port of Callao, Lima",7
304,Port of Cape Town,7
305,Port of Centro,7
306,Port of Chennai,7
307,Port of Chittagong,7
